OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType,LogSiteEnergyUse,LogGHGEmissions
843,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,2008,1.0,5.0,90583.0,8.0,9444484.0,0.0,4825247.0,4619236.0,0.0,278.97,8,0.0,1.0,1.0,0.0,2.0,Electricity,Hotel,16.0609415312268,5.634682454571901
845,NonResidential,Warehouse,EAST,1988,1.0,4.0,132828.0,83.0,1083729.625,0.0,1083729.0,0.0,0.0,7.56,28,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,13.895919929177749,2.1471001901536506
847,NonResidential,Warehouse,DELRIDGE,1970,1.0,1.0,70400.0,1.0,13962749.0,0.0,9916987.0,4045761.0,0.0,284.01,46,0.0,1.0,1.0,0.0,2.0,Electricity,Warehouse,16.451903627302254,5.652524267372389
848,NonResidential,Retail Store,NORTHWEST,1995,1.0,1.0,101830.0,60.0,10713006.0,0.0,5935365.0,4777640.0,0.0,295.12,21,0.0,1.0,1.0,0.0,2.0,Electricity,Store,16.186969168656223,5.6907647775748975
851,NonResidential,University,CENTRAL,1974,2.0,4.0,114000.0,,7575080.0,0.0,6341815.0,1233264.0,0.0,109.71,42,0.0,1.0,1.0,0.0,2.0,Electricity,Education,15.840374602371844,4.706914169871375
854,SPS-District K-12,Other,GREATER DUWAMISH,2002,1.0,3.0,338063.0,,20675922.0,0.0,18175883.0,2500035.0,0.0,259.49,14,0.0,1.0,1.0,0.0,2.0,Electricity,Other,16.844480441166542,5.562564472740664
857,NonResidential,Warehouse,SOUTHWEST,1965,1.0,1.0,152365.0,88.0,1069749.75,0.0,948207.0,121543.0,0.0,13.07,51,0.0,1.0,1.0,0.0,2.0,Electricity,Warehouse,13.882936235377205,2.644044871126298
858,NonResidential,Medical Office,CENTRAL,1910,1.0,6.0,320946.0,57.0,25471308.0,0.0,25205084.0,266222.0,0.0,189.85,106,0.0,1.0,1.0,0.0,2.0,Electricity,Medical and Care,17.053063239431648,5.251487779191239
859,NonResidential,Retail Store,GREATER DUWAMISH,1958,1.0,1.0,74178.0,,5402181.0,0.0,3296324.0,2105856.0,0.0,134.82,58,0.0,1.0,1.0,0.0,2.0,Electricity,Store,15.502313503992633,4.911330479685645
864,NonResidential,Warehouse,NORTH,1987,1.0,4.0,80360.0,96.0,686019.1875,0.0,437019.0,249000.0,0.0,16.27,29,0.0,1.0,1.0,0.0,2.0,Electricity,Warehouse,13.438662334117597,2.848970892158587
866,SPS-District K-12,K-12 School,SOUTHWEST,1950,1.0,1.0,61183.0,92.0,2424724.25,0.0,720406.0,1704318.0,0.0,95.54,66,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education,14.701228776965836,4.569957430232347
867,NonResidential,Supermarket/Grocery Store,EAST,1996,1.0,3.0,119190.0,71.0,10077532.0,0.0,5813407.0,4264124.0,0.0,267.0,20,0.0,1.0,1.0,0.0,2.0,Electricity,Store,16.12581904858978,5.5909869805108565
868,NonResidential,Other,GREATER DUWAMISH,2008,1.0,2.0,51856.0,,1938613.125,0.0,1938613.0,0.0,0.0,13.51,8,0.0,1.0,0.0,0.0,1.0,Electricity,Other,14.477483907200007,2.6748380668960965
1280,NonResidential,Mixed Use Property,GREATER DUWAMISH,1921,1.0,3.0,53552.0,3.0,7070998.5,0.0,7070998.0,0.0,0.0,49.29,95,0.0,1.0,0.0,0.0,1.0,Electricity,Mixed Use Property,15.77151239987502,3.9178062501838733
1281,NonResidential,Large Office,NORTHEAST,1960,1.0,3.0,65434.0,1.0,17880184.0,0.0,17791664.0,88516.0,0.0,128.73,56,0.0,1.0,1.0,0.0,2.0,Electricity,Office,16.699203674412267,4.865455367582921
19445,NonResidential,Low-Rise Multifamily,LAKE UNION,2000,1.0,3.0,56986.0,32.0,1997181.5,0.0,1744199.0,252982.0,0.0,25.6,16,0.0,1.0,1.0,0.0,2.0,Electricity,Mixed Use Property,14.507247995303029,3.2809112157876537
19461,NonResidential,Worship Facility,NORTHEAST,1957,1.0,2.0,22220.0,90.0,778355.8125,0.0,208060.0,570296.0,0.0,31.74,59,0.0,1.0,1.0,0.0,2.0,NaturalGas,Worship Facility,13.564940325914932,3.4885975719429885
19462,SPS-District K-12,K-12 School,NORTHEAST,1955,1.0,1.0,46732.0,87.0,2331952.75,0.0,753694.0,1578259.0,0.0,89.08,61,0.0,1.0,1.0,0.0,2.0,NaturalGas,Education,14.66221699349427,4.50069816439138
19472,NonResidential,Mixed Use Property,GREATER DUWAMISH,1962,1.0,1.0,44700.0,,2042771.0,0.0,1689972.0,352799.0,0.0,30.52,54,0.0,1.0,1.0,0.0,2.0,Electricity,Mixed Use Property,14.529818266984579,3.4506222649896783
19477,NonResidential,Warehouse,GREATER DUWAMISH,1976,1.0,1.0,44100.0,1.0,1618916.375,0.0,1618916.0,0.0,0.0,11.29,40,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,14.297268196768211,2.5087859235779435
19481,NonResidential,Distribution Center,GREATER DUWAMISH,1965,1.0,1.0,27800.0,13.0,1224186.25,0.0,880605.0,343581.0,0.0,24.39,51,0.0,1.0,1.0,0.0,2.0,Electricity,Distribution Center,14.017787712379995,3.234355395716587
19489,NonResidential,Warehouse,GREATER DUWAMISH,2001,1.0,1.0,46340.0,3.0,2564004.0,0.0,2564004.0,0.0,0.0,17.87,15,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,14.757081047098799,2.9375733593804587
19491,Campus,Other,GREATER DUWAMISH,1994,3.0,1.0,22800.0,,2222097.5,0.0,358020.0,1864077.0,0.0,101.5,22,0.0,1.0,1.0,0.0,2.0,NaturalGas,Other,14.613962577632135,4.629862798578463
